start_time,total_pkts,total_bytes_MB,ave_rate_Mbps,std_rate_Mbps
200904020130,20875365,14875.24,138.70,14.08
200904020145,18235925,13618.13,126.90,12.01
200904020200,18788847,14575.48,135.87,10.48
200904020215,16168599,11658.77,108.59,12.03
200904020230,15715250,10759.26,100.34,9.96
200904020245,14257735,9813.80,91.46,10.22
200904020300,13169124,9166.88,91.81,13.33
200904020315,16247443,11252.86,104.92,12.13
200904020330,15813100,10642.31,99.24,9.11
200904020345,14872093,10299.46,95.99,10.58
200904020400,14301807,9967.19,92.87,11.85
200904020415,13960807,9527.49,88.78,9.51
200904020430,13732841,8968.45,84.80,10.82
200904020445,13406546,8900.56,82.99,9.10
200904020500,13377288,8927.81,83.24,10.11
200904020515,13502397,9957.50,92.83,13.33
200904020530,13301871,9208.42,85.85,14.16
200904020545,12550473,8567.95,79.87,10.75
200904020600,13113134,9032.90,84.23,12.08
200904020615,12259877,8182.92,76.23,11.00
200904020630,12441382,8330.02,77.66,9.34
200904020645,11754451,7685.45,71.60,10.06
200904020700,12046946,8102.26,75.55,13.50
200904020715,11756606,8037.27,74.87,9.55
200904020730,11119430,7704.81,71.85,10.77
200904020745,11527153,8117.14,75.68,9.36
200904020800,11444728,8116.85,75.66,10.64
200904020815,11820037,8272.37,77.04,13.14
200904020830,12676667,7221.65,67.33,11.08
200904020845,11314503,7228.52,67.38,9.45
200904020900,12750365,8730.38,81.39,11.61
200904020915,12962657,8624.90,80.32,13.12
200904020930,13757186,9566.32,89.18,13.07
200904020945,15022109,10372.54,97.18,11.55
200904021000,15329694,10328.69,96.27,12.78
200904021015,13857576,9042.41,84.24,10.75
200904021030,15875263,11133.91,103.72,13.49
200904021045,15725410,10850.94,101.18,15.53
200904021100,17288492,11746.60,109.55,17.07
200904021115,19189006,13605.14,126.75,13.49
200904021130,20192076,14636.41,136.45,15.14
200904021145,21724743,15556.69,145.01,16.61
200904021200,20855717,15120.59,140.92,17.63
200904021215,19154276,13545.07,126.21,16.65
200904021230,17612973,12542.58,116.86,13.41
200904021245,19216492,13219.19,123.27,14.10
200904021300,19551029,13511.58,125.92,15.06
200904021315,18182640,12210.65,113.82,13.92
200904021330,16973676,11325.84,105.62,18.77
200904021345,18191667,12164.58,113.27,12.84
200904021400,19726255,12836.94,119.75,14.72
200904021415,19742538,13261.64,123.58,14.38
200904021430,19836779,13873.47,129.26,16.20
200904021445,19832570,13840.35,129.16,13.48
200904021500,19794516,12382.67,115.38,20.97
200904021515,19263250,11890.27,110.83,17.44
200904021530,18817513,11737.60,109.40,14.21
200904021545,18444117,12101.68,112.81,11.96
200904021600,19953138,13167.29,122.69,13.14
200904021615,19646323,12976.94,121.03,17.24
200904021630,19263983,12490.70,116.40,14.10
200904021645,19131188,12633.87,117.72,13.02
200904021700,21592932,14544.14,135.57,17.68
200904021715,20133512,12878.33,120.12,11.17
200904021730,20100950,12696.06,118.31,13.06
200904021745,19658897,12599.85,117.36,11.66
200904021800,19689024,12100.29,112.75,11.33
200904021815,17814243,10926.11,101.87,13.53
200904021830,17317074,11117.31,103.64,10.52
200904021845,15804321,9817.46,91.46,12.30
200904021900,16054475,10284.58,95.96,9.99
200904021915,15736779,9874.53,91.98,9.29
200904021930,17091620,11450.24,106.72,10.90
200904021945,17114519,11101.04,103.48,10.18
200904022000,17983792,11860.59,110.52,10.84
