date,start_time,end_time,duration,total_pkts,ave_rate,std_rate
2007-7-24,14:00:01,14:15:01,899.95,24489052,158.42,21.31
2007-7-25,14:00:01,14:15:01,900.03,23104957,148.38,23.62
2007-7-26,14:00:01,14:15:00,899.26,23276885,150.71,24.6
2007-7-27,14:00:01,14:15:01,900.33,32477063,167.27,29.12
2007-7-28,14:00:00,14:15:00,899.63,15100398,96.85,14.58
2007-7-29,14:00:01,14:15:00,899.63,14645053,89.9,14.54
2007-7-30,14:00:01,14:15:00,899.23,22524415,143.03,23.27
2007-7-31,14:00:01,14:15:01,899.73,23768970,157.34,25.05
2007-8-1,14:00:01,14:15:01,900.01,21991337,139.54,16.54
2007-8-2,14:00:01,14:15:01,900.32,23858314,149.63,16.21
2007-8-3,14:00:01,14:15:00,899.63,21162540,128.38,21.74
2007-8-4,14:00:00,14:15:01,900.21,23102634,180.04,19.89
2007-8-5,14:00:00,14:15:01,900.74,18642247,132.6,19.35
2007-8-6,14:00:01,14:15:01,900.08,22576108,146.19,24.16
2007-8-7,14:00:01,14:15:00,899.37,22418929,131.17,16.58
2007-8-8,14:00:01,14:15:01,900.27,22691185,143.5,20.85
2007-8-9,14:00:01,14:15:00,899.58,19186142,102.24,17.69
2007-8-10,14:00:01,14:15:00,899.5,19945414,117.3,15.34
2007-8-11,14:00:00,14:15:00,899.95,21561828,146.08,14.52
2007-8-12,14:00:01,14:15:01,900.07,16467735,92.98,17.15
2007-8-13,14:00:01,14:15:00,899.5,21221869,111.61,12.4
2007-8-14,14:00:01,14:15:00,899.56,23440664,134.81,16.39
2007-8-15,14:00:01,14:15:01,900.01,23580396,135.21,14.91
2007-8-16,14:00:01,14:15:00,899.2,25507239,161.84,30.12
2007-8-17,14:00:01,14:15:01,899.95,25414858,149.38,15.6
2007-8-18,14:00:00,14:15:00,899.67,21394286,129.18,12.66
2007-8-19,14:00:01,14:15:00,899.23,13384798,86.8,10.93
2007-8-20,14:00:01,14:15:00,899.64,28819249,190.93,38.49
2007-8-21,14:00:01,14:15:01,899.76,28321197,174.53,35.6
2007-8-22,14:00:00,14:15:01,900.81,27518478,170.89,23.96
2007-8-23,14:00:01,14:15:01,900.24,24475937,141.31,16.74
2007-8-24,14:00:01,14:15:01,900.17,24689382,149.29,21.19
2007-8-25,14:00:01,14:15:01,900.23,18361710,106.02,10.53
2007-8-26,14:00:00,14:15:00,900.02,16130424,96.04,12.85
2007-8-27,14:00:01,14:15:00,899.51,24434296,158.61,29.25
2007-8-28,14:00:00,14:15:01,900.43,26074727,159.22,17.84
2007-8-29,14:00:01,14:15:01,899.97,26807813,169.3,26.22
2007-8-30,14:00:00,14:15:01,900.29,23399605,145.22,20.9
2007-8-31,14:00:00,14:15:01,900.43,20528444,122.76,15.58
2007-9-1,14:00:01,14:15:01,899.92,19249661,113.12,9.83
2007-9-2,14:00:01,14:15:00,899.78,15535606,90.54,10.48
2007-9-3,14:00:00,14:15:00,899.96,23116120,133.61,24.41
2007-9-4,14:00:00,14:15:00,899.78,25079257,165.09,21.1
2007-9-5,14:00:01,14:15:01,899.56,25751083,162.73,29.2
2007-9-6,14:00:00,14:15:00,899.98,23280169,139.69,26.56
2007-9-7,14:00:00,14:15:00,899.84,25901883,160.64,38.34
2007-9-8,14:00:00,14:15:00,899.64,18049311,100.32,18.47
2007-9-9,14:00:01,14:15:00,899.51,15001689,92.89,16.57
2007-9-10,14:00:00,14:15:00,900.15,27844911,173.91,18.59
2007-9-11,14:00:00,14:15:01,900.37,29670026,219.99,19.05
2007-9-12,14:00:00,14:15:00,899.99,23943317,147.64,17.52
2007-9-13,14:00:00,14:15:00,899.98,24764552,157.55,22.66
2007-9-14,14:00:01,14:15:00,899.79,22647287,130.01,22.17
2007-9-15,14:00:00,14:15:00,899.9,19774355,114.61,13.62
2007-9-16,14:00:00,14:15:00,899.98,14703736,82.76,25.59
2007-9-17,14:00:01,14:15:01,900.01,21195010,121.96,21.28
