dataset,algorithm,quantity,rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff,res_sizes,n_leaking_rate,spectral_rads,n_nodes,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
longterm,cnn,packetrate,20509860.06,22.35143399,7.965304852,10,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,20504129.47,18.45915914,8.102640867,10,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,20905405.2,17.01487088,8.038882017,10,1,64,3,10,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,21709342.52,16.20007014,8.155755043,10,1,64,3,10,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,19868938.93,31.20719504,8.126625061,10,1,64,3,20,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,20548797.85,23.23994017,8.272304058,10,1,64,3,20,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,20439312.85,20.47650003,8.298207998,10,1,64,3,20,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,20657813.39,18.44788909,8.224802017,10,1,64,3,20,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,20042239.49,56.96256995,8.344176054,10,1,64,3,50,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,20216683.01,36.62275696,8.35529089,10,1,64,3,50,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,20341486.95,30.19887996,8.41729784,10,1,64,3,50,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,20131745.05,24.75579596,8.372272015,10,1,64,3,50,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,19350290.47,23.28284502,8.537532091,10,1,64,5,10,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,20124889.89,19.22066593,8.553037167,10,1,64,5,10,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,20556827.71,17.93016911,8.481477976,10,1,64,5,10,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,21126158.84,16.94159007,8.502952099,10,1,64,5,10,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,19858791.42,32.33345914,8.591871023,10,1,64,5,20,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,20114261.12,24.07067394,8.6776371,10,1,64,5,20,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,19627720.03,21.35994887,8.706199169,10,1,64,5,20,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,19906819.5,19.13531995,8.819017887,10,1,64,5,20,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,19235242.81,59.39323211,8.729938984,10,1,64,5,50,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,19306797.17,37.85263205,8.756531,10,1,64,5,50,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,19699119.93,31.84783411,8.804900885,10,1,64,5,50,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,19210940.72,25.38492703,9.017730951,10,1,64,5,50,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18917230.25,24.87666702,8.971422911,20,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,20009745.84,20.72492695,8.991302013,20,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,19303700.05,19.4088099,8.981467962,20,1,64,3,10,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,19642097.62,18.52137589,8.986030817,20,1,64,3,10,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18658601.47,35.30155706,9.142976046,20,1,64,3,20,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18654808.13,26.26991796,9.147471905,20,1,64,3,20,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,18489712.01,23.60091019,9.31888485,20,1,64,3,20,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18724744.38,21.16834712,9.289785147,20,1,64,3,20,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18668330.36,64.55392289,9.288817883,20,1,64,3,50,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18409167.13,41.98417401,9.26758194,20,1,64,3,50,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,18642583.71,35.22386098,9.433725119,20,1,64,3,50,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18735744.77,29.31779003,9.338419914,20,1,64,3,50,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18771495.3,26.40094709,9.453689814,20,1,64,5,10,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18658763.41,22.03198886,9.475723028,20,1,64,5,10,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,19166515.27,20.35135198,9.698093891,20,1,64,5,10,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,19331779.22,19.35669208,9.491966963,20,1,64,5,10,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,20056198.85,36.32837319,9.603818178,20,1,64,5,20,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18760981.56,27.52333689,9.619342089,20,1,64,5,20,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,19083552.34,24.40137196,9.625889063,20,1,64,5,20,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,19394018.48,22.38641787,9.87469697,20,1,64,5,20,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,19833383.03,66.76841807,9.657963037,20,1,64,5,50,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,19190272.14,43.94404602,9.766986847,20,1,64,5,50,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,18667436.34,36.22111106,9.950435162,20,1,64,5,50,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18375275.63,30.58072686,9.921413898,20,1,64,5,50,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18793381.82,29.06142092,9.964323997,50,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,17980217.05,24.29949594,10.04032207,50,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,18204245.3,22.80869889,10.08924508,50,1,64,3,10,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18828706.11,23.57948089,10.53128099,50,1,64,3,10,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,17620622.63,42.06347299,10.70176291,50,1,64,3,20,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,17661658.94,32.60914707,10.48639393,50,1,64,3,20,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,17713349.74,29.73402882,10.71374798,50,1,64,3,20,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,17956588.99,25.81325412,10.56237602,50,1,64,3,20,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18226571.82,97.93140507,14.09447598,50,1,64,3,50,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18011526.68,70.23148012,11.09509206,50,1,64,3,50,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,18038350.91,48.91378093,11.23266888,50,1,64,3,50,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18041283.25,38.73233199,11.22131205,50,1,64,3,50,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18996346.89,32.17649293,11.17968297,50,1,64,5,10,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18591095.81,26.97745705,11.25778794,50,1,64,5,10,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,17925414.62,25.58805895,11.2117281,50,1,64,5,10,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18169467.19,23.87579799,11.17840314,50,1,64,5,10,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18819552.83,45.22608304,11.15866518,50,1,64,5,20,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18044358.43,35.03459001,11.18416595,50,1,64,5,20,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,18735250.79,31.28832006,11.32719016,50,1,64,5,20,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18176139.51,28.1776731,11.25812101,50,1,64,5,20,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,18857220.7,83.69326997,11.32358384,50,1,64,5,50,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,18808883.81,57.27918506,11.41152191,50,1,64,5,50,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,18547615.89,49.25141191,11.44559002,50,1,64,5,50,30,96,,,,,,,,,,,,
longterm,cnn,packetrate,18319695.13,39.98155594,11.60608101,50,1,64,5,50,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.12771376,0.386219978,0.036405087,5,1,64,3,10,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.92896416,0.326169014,0.043947935,5,1,64,3,10,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.32402411,0.32793808,0.056214094,5,1,64,3,10,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.22860182,0.416851044,0.066483974,5,1,64,3,10,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.50626398,0.559925795,0.079090118,5,1,64,3,20,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.54208659,0.475437164,0.084102869,5,1,64,3,20,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.4824179,0.469190121,0.095353842,5,1,64,3,20,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.01949539,0.466603994,0.112226963,5,1,64,3,20,50,96,,,,,,,,,,,,
