rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
1066921.6291208242,0.060991699555340936,0.003395220812629251,"(0, 1, 1)","(1, 0, 0, 0)",c
1073725.7304059719,0.08219772226670209,0.0033434531267951518,"(0, 1, 1)","(1, 0, 1, 0)",c
1075117.5407917488,0.17942003642811494,0.0034749339608585133,"(0, 1, 1)","(1, 0, 2, 0)",c
1073112.3293757665,0.06938649626339183,0.0033431081210865696,"(0, 1, 1)","(2, 0, 0, 0)",c
1073145.1143193264,0.12052039539112765,0.0033290666692397173,"(0, 1, 1)","(2, 0, 1, 0)",c
1072671.0907087252,0.19866445765775792,0.0034456505494959216,"(0, 1, 1)","(2, 0, 2, 0)",c
1067862.8635520793,0.021745810789220475,0.003394463483025046,"(0, 1, 1)","(0, 0, 0, 0)",t
1067317.1408951643,0.030683657702277687,0.0032880867228788488,"(0, 1, 1)","(0, 0, 1, 0)",t
1077175.2065409739,0.08637949158163631,0.0034421135397518384,"(0, 1, 1)","(0, 0, 2, 0)",t
1071119.3609956424,0.061450899348539464,0.0034211355097153607,"(0, 1, 1)","(1, 0, 0, 0)",t
1076238.961397501,0.08158749692580279,0.003325294045840993,"(0, 1, 1)","(1, 0, 1, 0)",t
1077774.1937559606,0.16624713505015654,0.003478720608879538,"(0, 1, 1)","(1, 0, 2, 0)",t
1075954.1712958778,0.06940047600690057,0.0033302671769086054,"(0, 1, 1)","(2, 0, 0, 0)",t
1076121.5701416633,0.12149653715245864,0.0033819366903866037,"(0, 1, 1)","(2, 0, 1, 0)",t
1075472.8798050128,0.19704249045428107,0.0034776940065271715,"(0, 1, 1)","(2, 0, 2, 0)",t
1069489.1921612031,0.025116213630227483,0.003218202029957491,"(0, 1, 1)","(0, 0, 0, 0)",ct
1068949.1348570988,0.03726341864641975,0.003356459561516257,"(0, 1, 1)","(0, 0, 1, 0)",ct
1078722.1533313373,0.10093566670137293,0.0034216992995318245,"(0, 1, 1)","(0, 0, 2, 0)",ct
1073470.1197850283,0.0720276720383588,0.0033149410696590646,"(0, 1, 1)","(1, 0, 0, 0)",ct
1077588.0498263417,0.09446109603433048,0.0033467517179601334,"(0, 1, 1)","(1, 0, 1, 0)",ct
1079217.9046025148,0.1803851520313936,0.0034764822791604434,"(0, 1, 1)","(1, 0, 2, 0)",ct
1077504.6454971912,0.08020015604355756,0.00329891373129452,"(0, 1, 1)","(2, 0, 0, 0)",ct
1077728.190802105,0.13835825639612534,0.003356818591847139,"(0, 1, 1)","(2, 0, 1, 0)",ct
1079743.6494472313,0.21726106194888845,0.003457052567425896,"(0, 1, 1)","(2, 0, 2, 0)",ct
1071296.747943648,0.0176054645987118,0.0023344713098862593,"(0, 1, 2)","(0, 0, 0, 0)",n
1072993.626639063,0.04234786314122817,0.0022595938514260684,"(0, 1, 2)","(0, 0, 1, 0)",n
1071996.1150360478,0.030667333041920382,0.0023895824656767002,"(0, 1, 2)","(0, 0, 2, 0)",n
1072548.5193733186,0.03322066699757296,0.0022031223072725183,"(0, 1, 2)","(1, 0, 0, 0)",n
1074252.3167284846,0.10814868702607996,0.0023507314569809856,"(0, 1, 2)","(1, 0, 1, 0)",n
1073420.7811576214,0.0679799051845775,0.0023072102490593405,"(0, 1, 2)","(1, 0, 2, 0)",n
1070107.4592069255,0.10263305832357968,0.0023430627935072954,"(0, 1, 2)","(2, 0, 0, 0)",n
