rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
17396384.696913753,0.7975270782077015,0.018691155409897773,"(0, 1, 2)","(0, 0, 1, 0)",t
17866230.099487424,0.6340766764761856,0.019646492717104874,"(0, 1, 2)","(0, 0, 2, 0)",t
17499933.879429504,0.6959640428264794,0.01738227446025518,"(0, 1, 2)","(1, 0, 0, 0)",t
17501850.691768985,1.724915533303366,0.01851201707923681,"(0, 1, 2)","(1, 0, 1, 0)",t
17583797.628897097,2.5607340463115653,0.019319742458429483,"(0, 1, 2)","(1, 0, 2, 0)",t
17430926.31193929,2.149604764273158,0.017406970439290945,"(0, 1, 2)","(2, 0, 0, 0)",t
2401207210.317439,5.805903222071601,0.018515901916250497,"(0, 1, 2)","(2, 0, 1, 0)",t
17679460.35024343,4.371763649925784,0.019383445470499965,"(0, 1, 2)","(2, 0, 2, 0)",t
17482851.35347487,0.5288122970155691,0.030482810021578065,"(0, 1, 2)","(0, 0, 0, 0)",ct
17401648.850372378,0.9695482412408396,0.032918230353159696,"(0, 1, 2)","(0, 0, 1, 0)",ct
17865307.412429035,0.7810455861889171,0.03297847106363425,"(0, 1, 2)","(0, 0, 2, 0)",ct
17499077.51715136,0.84037454385633,0.02993960510652119,"(0, 1, 2)","(1, 0, 0, 0)",ct
17495184.541821063,1.9152084335879216,0.03177676704289085,"(0, 1, 2)","(1, 0, 1, 0)",ct
17649846.210588936,4.712939653249539,0.033046531507553156,"(0, 1, 2)","(1, 0, 2, 0)",ct
17470663.911296904,2.3498752569671484,0.02997834628728502,"(0, 1, 2)","(2, 0, 0, 0)",ct
24846460927.773228,6.677971425854015,0.03178776059993504,"(0, 1, 2)","(2, 0, 1, 0)",ct
17745379.340238124,5.846388482538407,0.03309096503795112,"(0, 1, 2)","(2, 0, 2, 0)",ct
19283134.083493434,0.1133143669911268,0.011168513009556671,"(1, 0, 0)","(0, 0, 0, 0)",n
19327633.205915496,0.17755390684234149,0.011343581537900587,"(1, 0, 0)","(0, 0, 1, 0)",n
17464912.47579369,0.41434189178765457,0.011721893561692424,"(1, 0, 0)","(0, 0, 2, 0)",n
22841313.693438668,0.09119308772601832,0.011374050187894882,"(1, 0, 0)","(1, 0, 0, 0)",n
17493295.559649013,0.9186832853907793,0.01140669599829478,"(1, 0, 0)","(1, 0, 1, 0)",n
17463674.975135036,0.8728363409302554,0.011818898247371507,"(1, 0, 0)","(1, 0, 2, 0)",n
20016850.96430018,0.2518753578371566,0.011726033503757536,"(1, 0, 0)","(2, 0, 0, 0)",n
17460876.870329782,1.0383563590360847,0.011772145014499288,"(1, 0, 0)","(2, 0, 1, 0)",n
17520046.035988923,0.8119641705057092,0.011858233636242922,"(1, 0, 0)","(2, 0, 2, 0)",n
18893641.110578846,0.3662574788995202,0.01594725509272493,"(1, 0, 0)","(0, 0, 0, 0)",c
19010655.429978445,0.49404376879564244,0.01642621030162662,"(1, 0, 0)","(0, 0, 1, 0)",c
18238872.14280884,0.8287885358749335,0.01725619458643143,"(1, 0, 0)","(0, 0, 2, 0)",c
19619900.900281236,0.6229965715080252,0.01642994637449724,"(1, 0, 0)","(1, 0, 0, 0)",c
19062193.03317493,0.9586547170528172,0.016455255793506988,"(1, 0, 0)","(1, 0, 1, 0)",c
18835160.83173757,1.9709193777217842,0.01729622458506592,"(1, 0, 0)","(1, 0, 2, 0)",c
19633062.665633634,0.8326214980400329,0.01723824842686048,"(1, 0, 0)","(2, 0, 0, 0)",c
19069515.695841875,1.5058508284151342,0.01728151531830377,"(1, 0, 0)","(2, 0, 1, 0)",c
18385107.491031535,3.5144684951076304,0.017307492761849508,"(1, 0, 0)","(2, 0, 2, 0)",c
18488350.797378004,0.3664381659610699,0.015984247870575348,"(1, 0, 0)","(0, 0, 0, 0)",t
19367290.426346246,0.45625745330982503,0.016441262630946838,"(1, 0, 0)","(0, 0, 1, 0)",t
19328638.192748457,0.7669140540266659,0.017207960782667637,"(1, 0, 0)","(0, 0, 2, 0)",t
19385174.043634575,0.7473672822135482,0.01636158613971968,"(1, 0, 0)","(1, 0, 0, 0)",t
19431340.153214343,0.8267275291546949,0.01637690290720296,"(1, 0, 0)","(1, 0, 1, 0)",t
19283917.696468487,2.3785055834769073,0.01723323117230145,"(1, 0, 0)","(1, 0, 2, 0)",t
